Ленин Владимир Ильич; 22.04.1870 (10) ; [[председатель Совета народных комиссаров СССР]] ;; [[РСДРП]] → [[РКП(б)]] → [[ВКП(б)]] 
Государственный строй Эстонии;;;;
Аксельрод Павел Борисович; 1849 или 1850;;; [[Земля и воля
Мнишек Марина Юрьевна; ок. [[1588]] ; [[Список супругов российских правителей#Русские царицы;;
Камилла герцогиня Корнуольская; 17.07.1947 ; герцогиня Корнуольская и Ротсейская ;;
Сирота Михаил Дмитриевич; 17.07.1956 ;;; [[Трудовая партия Украины]] 
Литвинов Максим Максимович;  17.07.1876 (5); [[Народный комиссариат иностранных дел СССР;7548][http://www.lechaim.ru/ARHIV/189/yavelov.htm]<ref name; [[РСДРП(б)]] с 1898 года.
Кадыров Ахмат Абдулхамидович; 23.8.1951; [[Президент Чеченской Республики]];;
Че Гевара Эрнесто; 14.06.1928 ; министр промышленности Кубы  ;; [[Коммунистическая партия Кубы]] 
Федеративное устройство России;;;;
Кеннеди Джон Фицджеральд; 29.05.1917; [[Президент США]]     ;; [[Демократическая партия США]]
Полтавченко Георгий Сергеевич; 23.2.1953 ; [[Главы Санкт-Петербурга; {{RUS}} ;  
Латышев Пётр Михайлович; 30.8.1948; [[Полномочный представитель Президента Российской Федерации в федеральном округе;; 
Альбрехт (герцог Пруссии); 17.5.1490 ; [[Список правителей Пруссии;;
Луиза (королева Пруссии); 10.03.1776; королева [[Пруссия;;
Пржемысл Отакар II; 1233; [[Король Чехии]];;
Рыжков Николай Иванович; 28.9.1929; [[Председатель Совета Министров СССР]]; {{USSR}} → {{RUS}}; [[КПСС]] (с 1956 по 1991)
Сталин Иосиф Виссарионович; {{OldStyleDate; [[председатель Совета министров СССР]];; [[Коммунистическая партия Советского Союза
Плеханов Георгий Валентинович; 11.12.1856 (29.11);;;* [[Земля и воля]]* [[Чёрный передел (организация)
Троцкий Лев Давидович; 7.11.1879 (26.10); [[Петроградский совет рабочих и солдатских депутатов;; [[Российская социал-демократическая рабочая партия (большевиков)
Марк Туллий Цицерон; 3.01.-106; оратор, философ, политик;; 
Столыпин Пётр Аркадьевич; 14.4.1862 (2); [[Премьер-министры России;;
Горемыкин Иван Логгинович; 8.11.1839 (27.10); [[Премьер-министры России;; 
Победоносцев Константин Петрович; 2.06.1827 (21.05); [[Обер-прокурор;;
Рыков Алексей Иванович; 25.02.1881 (13); [[председатель Совета народных комиссаров СССР]]  ;; [[РСДРП]] (с 1898)
Керенский Александр Фёдорович; 4.5.1881 (22.4); Министр юстиции Всероссийского Временного Правительства;; [[Трудовая группа
Львов Георгий Евгеньевич; 2.11.1861 ; [[Временное правительство (Россия);;
Афонсу I Великий; 25.07.1109; [[Список правителей Португалии;;
Административное деление Украины;;;;
Фрадков Михаил Ефимович; 1.9.1950; [[Председатель Правительства Российской Федерации]];;
Бирон Эрнст Иоганн; 23.11.1690; [[Курляндия и Семигалия;;
Молотов Вячеслав Михайлович; 9.3.1890(25.2); [[Совет Народных Комиссаров СССР;; [[КПСС]] (с 1906, исключён 1962, восстановлен 1984)
Кучма Леонид Данилович; 9.08.1938; [[Президент Украины]];;
Андропов Юрий Владимирович; 15.6.1914 (2); Член [[Политбюро ЦК КПСС]];; [[КПСС]] (1939, кандидат с 1937)
Пален Пётр Алексеевич; 28.07.1745 (17) ; [[Санкт-Петербургское генерал-губернаторство;;
Горбачёв Михаил Сергеевич; 2.3.1931; [[Президент СССР]];; 1) [[КПСС]] (1952—1991)<br />2) [[Российская объединённая социал-демократическая партия
Лукашенко Александр Григорьевич; 30.8.1954; [[президент Республики Беларусь]];; [[КПСС]] ([[1979]]—[[1991]])
Яковлев Владимир Анатольевич; 25.11.1944; [[Министерство регионального развития России;;
Драчевский Леонид Вадимович; 5.4.1942; Полномочный представитель Президента Российской Федерации в [[Сибирский федеральный округ;;
Путин Владимир Владимирович; 7.10.1952 ; [[президент Российской Федерации]]; {{USSR}} →<br />{{RUS}} ; До августа 1991 года член [[Коммунистическая партия Советского Союза
Фетисов Вячеслав Александрович; 20.04.1958; Председатель [[Государственный комитет Российской Федерации по физической культуре и спорту;"Г">[http://www.gazeta.ru/politics/2012/12/06_a_4881457.shtml РОтложенное гражданство // Газета.ру]</ref>.Законодательная инициатива сенаторов вызвали широкий общественный резонанс в СМИ и в интернете, так как многие посчитали это возможностью для переселения в Россию мигрантов из бывших республик СССР. Согласно исследованию Левада-центра, опубликованному в конце ноября, 63 % россиян считают, что численность мигрантов должна быть сокращена, а 71 % — что мигранты способствуют росту уровня преступности в стране, при этом 67 % полагают, что мигранты отнимают у россиян рабочие места<ref name; «[[Единая Россия]]» 
Ельцин Борис Николаевич; 1.2.1931 ; [[президент Российской Федерации]] ;; [[КПСС]] ([[1961]]—[[1990]]) 
Хрущёв Никита Сергеевич; 15.4.1894 (3); [[генеральный секретарь ЦК КПСС;; [[КПСС]] (с 1918 года)
Салазар Антониу ди; 28.4.1889; [[Премьер-министр Португалии]];; 1) [[Католический центр]] <br />2) [[Национальный союз (Португалия)
Дудаев Джохар Мусаевич; 15.2.1944; [[Главы Чечни после 1991 года;; [[КПСС]] ([[1968]]—[[1991]])
Хайле Селассие I; 23.07.1892; [[император Эфиопии]];;
Лихачёв Дмитрий Сергеевич; 28.11.1906 (15); Председатель правления [[Советский фонд культуры;;
Тимошенко Семён Константинович; 18.02.1895 (6); [[Народный комиссариат обороны СССР;; [[РКП(б)]], [[ВКП(б)]], [[КПСС]]
Ворошилов Климент Ефремович; 4.2.1881 (23.1); [[председатель Президиума Верховного Совета СССР]] ;; [[КПСС]] (с [[1905 год]]а)
Ромул и Рем; ок. [[771 год до н. э.]] ; [[Древнеримские цари;  ;
Козак Дмитрий Николаевич; 7.11.1958; [[Заместитель Председателя Правительства Российской Федерации]]; {{Флагификация;
Устинов Дмитрий Фёдорович; 30.10.1908 (17.10); Член [[Политбюро ЦК КПСС]];; [[КПСС]] с [[1927 год]]а
Хлопонин Александр Геннадиевич; 6.3.1965; [[Полномочный представитель президента Российской Федерации в федеральном округе;; [[Единая Россия]]
Список премьер-министров Израиля;;;;
Политические партии России;;;;
Абаза Александр Агеевич; 5.8.1821 (24.7); [[Министерство финансов Российской империи;;
Аббас I Великий; 27.1.1571; [[шахиншах;;
Абдул-Малик ибн Мерван; 646; Омейядский халиф арабов;;
Абдалла ибн Хусейн; 1882; [[король Иордании]];;
Абдукаримов Исатай Абдукаримович; 15.05.1923 ; Председатель Президиума Верховного Совета [[Казахская Советская Социалистическая Республика;; [[КПСС]] 
Абдул Разак Хусейн; 11.03.1922 ; Премьер-министр Малайзии ;; [[Малайская национальная организация]] 
Абаза Николай Саввич; 19.8.1837 (7) ;  [[Рязанская губерния;;
Собянин Сергей Семёнович; 21.6.1958; [[Мэр Москвы]]; {{USSR}} → {{RUS}}; 1) [[Коммунистическая партия Советского Союза
Рокецкий Леонид Юлианович; 15.3.1942; [[губернатор]] [[Тюменская область;; [[КПСС]]<br />[[Наш дом — Россия]]<br />[[Единство (фракция)
Сметанюк Сергей Иванович; 8.06.1962; и. о. [[губернатор]]а [[Тюменская область;; Единая Россия
Киричук Степан Михайлович; 18.5.1949 ;;;  
Меншиков Александр Данилович; 16.11.1673 (6); Генералиссимус морских и сухопутных войск;;
Магомедов Магомедали Магомедович; 15.06.1930 ; [[Главы Дагестана после 1991 года;; [[КПСС]] 
Но Му Хён; 1.09.1946 ; [[Президент Республики Корея]] ;; [[Демократическая партия (Южная Корея)
Кочарян Роберт Седракович; 31.8.1954; [[Президент Армении]];;
Колчак Александр Васильевич; 16.11.1874 (4); [[Верховный правитель;;
Фракции Европейского парламента;;;;
Бауман Николай Эрнестович; 17.5.1873 ;;; [[Российская социал-демократическая рабочая партия
Нарочницкая Наталия Алексеевна; 23.12.1948; Председатель парижского отделения Института демократии и сотрудничества;;
Ющенко Виктор Андреевич; 23.02.1954 ; [[Президент Украины]] ; {{UKR}} ; 1) [[КПСС]] (1977—1991)<br />2) [[Народно-демократическая партия (Украина)
Автономный округ (Россия);;;;
Автономная область (Россия);;;;
Строев Егор Семёнович; 25.02.1937; член [[Совет Федерации;; 1) [[КПСС]], <br />2) [[Единая Россия]]
Птолемей II Филадельф; [[309 год до н. э.; царь [[Эллинистический Египет;;
Александров Александр Данилович; 4.8.1912 (22.7) ; Ректор [[Санкт-Петербургский государственный университет;; [[КПСС]] 
Яимов Игорь Эжерович; 4.10.1957 ; Министр здравоохранения<br />[[Республика Алтай;; [[Единая Россия]] 
Ян III Собеский; 17.08.1629; [[гетман польный коронный]];;
Рыбкин Иван Петрович; 20.10.1946 ; [[Председатель Государственной Думы;; [[КПСС]], [[Аграрная партия России
Зюганов Геннадий Андреевич; 26.6.1944; Председатель [[Коммунистическая партия Российской Федерации (фракция); {{USSR}} → {{RUS}}; [[КПСС]] (с 1966)<br />[[КП РСФСР]] — [[КПРФ]] (с 1990)
Селезнёв Геннадий Николаевич; 6.11.1947 ; [[Председатель Государственной Думы;; [[КПСС]] (до 1991)<br />[[КПРФ]] (1993 — 2002)<br />[[Партия возрождения России
Макаров Александр Сергеевич; 4.1.1946 ; Мэр города [[Томск]]а ;;  
Чампи Карло Адзельо; 9.12.1920; 10-й [[президент Италии]];;
Кресс Виктор Мельхиорович; 16.11.1948; [[Губернатор]] [[Томская область;; [[КПСС]] (1970—1991)<br /> [[Единая Россия]] (2004 — н.в.)
Киров Сергей Миронович; 27.03.1886 (15); [[первый секретарь ЦК КП(б) Азербайджана]];; [[Российская социал-демократическая рабочая партия
Мстислав Мстиславич Удатный; до [[1176 год; [[Список князей Новгородских;;
Маленков Георгий Максимилианович; 8.1.1902 (26.12.1901); [[Председатель Совета Министров СССР]];; [[КПСС]] ([[1920]]—[[1961]], исключён)
Брежнев Леонид Ильич; 19.12.1906 (6); [[генеральный секретарь ЦК КПСС]];; 1) [[ВКП(б)]] (1931—1952)</br>2) [[КПСС]] (с 1952)
Черненко Константин Устинович; 24.09.1911 (11); [[Генеральный секретарь ЦК КПСС]];; [[КПСС]]
Гай Юлий Цезарь; 12.7.-100; [[Диктатор (Древний Рим);;
Дзержинский Феликс Эдмундович; 11.9.1877 (30.8); [[Руководители советских органов госбезопасности;; 1) [[Литовская социал-демократическая партия
Фрунзе Михаил Васильевич;2.2.1885 (21.1);председатель [[Революционный военный совет;;[[РКП(б)]] с [[1904 год]]а
Хакамада Ирина Муцуовна; 13.04.1955 ; [[Заместители Председателя Государственной думы; {{RUS}} ; [[Партия экономической свободы]] (1992-1994),<br />[[Файл:SPS.svg
Саркисов Бабкен Есаевич;  8.12.1913 ; Председатель Президиума Верховного Совета Армянской ССР; {{Флагификация;  [[КПСС]] (1939-1991)
Буш Джордж Уокер; 06.07.1946 ; [[президент США]] ;; [[Республиканская партия США]] 
Витренко Наталья Михайловна; 28.12.1951 ;;; Лидер [[ПСПУ]] 
Тигипко Сергей Леонидович; 13.02.1960; Вице-премьер-министр Украины;; [[Партия регионов]]
Черномырдин Виктор Степанович; 9.4.1938; [[Советник президента Российской Федерации]];; 1) [[КПСС]] <br />2) [[Наш дом — Россия]]
